#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 06 19 16 40  39 11.3 13.8 99.00 99.00 99.00 999 9999.0   6.0   3.3   4.6 99.0 99.00
2014 06 19 16 50  41 11.7 13.5 99.00 99.00 99.00 999 9999.0   6.4   3.3   4.9 99.0 99.00
2014 06 19 17 00  40 10.4 12.8 99.00 99.00 99.00 999 9999.0   6.8   3.2   5.3 99.0 99.00
2014 06 19 17 10  50 11.4 12.7 99.00 99.00 99.00 999 9999.0   7.0   3.2   5.5 99.0 99.00
2014 06 19 17 20  50 11.6 14.8 99.00 99.00 99.00 999 9999.0   7.3   3.3   5.7 99.0 99.00
2014 06 19 17 30  46 10.4 14.1 99.00 99.00 99.00 999 9999.0   7.6   3.3   6.0 99.0 99.00
2014 06 19 17 40  55 11.9 14.0 99.00 99.00 99.00 999 9999.0   7.7   3.2   6.2 99.0 99.00
2014 06 19 17 50  50 12.8 15.4 99.00 99.00 99.00 999 9999.0   7.5   3.2   5.9 99.0 99.00
2014 06 19 18 00  38 13.0 15.7 99.00 99.00 99.00 999 9999.0   7.6   3.2   6.1 99.0 99.00
2014 06 19 18 10  49 12.1 14.2 99.00 99.00 99.00 999 9999.0   7.7   3.2   6.3 99.0 99.00
2014 06 19 18 20  36 13.3 16.5 99.00 99.00 99.00 999 9999.0   7.8   3.2   6.3 99.0 99.00
2014 06 19 18 30  48 12.7 14.9 99.00 99.00 99.00 999 9999.0   7.8   3.2   6.3 99.0 99.00
2014 06 19 18 40  51 13.8 15.8 99.00 99.00 99.00 999 9999.0   7.6   3.3   6.1 99.0 99.00
2014 06 19 18 50  55 13.2 15.0 99.00 99.00 99.00 999 9999.0   7.6   3.2   6.1 99.0 99.00
2014 06 19 19 00  41 13.1 14.9 99.00 99.00 99.00 999 9999.0   7.7   3.3   6.1 99.0 99.00
2014 06 19 19 10  41 12.8 15.7 99.00 99.00 99.00 999 9999.0   7.7   3.3   6.0 99.0 99.00
2014 06 19 19 20  38 12.1 14.4 99.00 99.00 99.00 999 9999.0   7.7   3.2   6.0 99.0 99.00
2014 06 19 19 30  44 11.7 14.6 99.00 99.00 99.00 999 9999.0   7.7   3.2   6.0 99.0 99.00
2014 06 19 19 40  49 11.7 13.3 99.00 99.00 99.00 999 9999.0   7.7   3.2   6.0 99.0 99.00
2014 06 19 19 50  43 11.4 13.8 99.00 99.00 99.00 999 9999.0   7.7   3.2   6.0 99.0 99.00
2014 06 19 20 00  51 10.3 12.8 99.00 99.00 99.00 999 9999.0   8.3   3.2   6.4 99.0 99.00
2014 06 19 20 10  63 10.0 12.3 99.00 99.00 99.00 999 9999.0   8.6   3.2   6.5 99.0 99.00
2014 06 19 20 20  58  9.8 11.5 99.00 99.00 99.00 999 9999.0   8.4   3.2   6.3 99.0 99.00
2014 06 19 20 30  43  9.9 11.8 99.00 99.00 99.00 999 9999.0   8.9   3.2   6.8 99.0 99.00
2014 06 19 20 40  58  9.3 10.8 99.00 99.00 99.00 999 9999.0   8.9   3.2   6.6 99.0 99.00
