#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 06 11 21 50  60  6.0   MM    MM    MM    MM  MM 1006.2   8.5   9.5   7.4   MM   MM    MM
2024 06 11 21 40  60  6.0   MM    MM    MM    MM  MM 1006.3   8.5   9.5   7.4   MM   MM    MM
2024 06 11 21 30  60  6.0   MM    MM    MM    MM  MM 1006.5   8.6   9.5   7.5   MM   MM    MM
2024 06 11 21 20  70  6.0   MM    MM    MM    MM  MM 1006.7   8.7   9.5   7.6   MM   MM    MM
2024 06 11 21 10  70  6.0   MM    MM    MM    MM  MM 1006.8   8.7   9.5   7.6   MM   MM    MM
2024 06 11 21 00  70  6.0   MM    MM    MM    MM  MM 1006.8   8.8   9.5   7.7   MM -1.8    MM
2024 06 11 20 50  70  6.0   MM    MM    MM    MM  MM 1006.8   8.7   9.5   7.6   MM   MM    MM
2024 06 11 20 40  80  6.0   MM    MM    MM    MM  MM 1006.9   8.6   9.4   7.5   MM   MM    MM
2024 06 11 20 30  80  6.0   MM    MM    MM    MM  MM 1007.1   8.6   9.4   7.5   MM   MM    MM
2024 06 11 20 20  70  6.0   MM    MM    MM    MM  MM 1007.2   8.5   9.4   7.5   MM   MM    MM
2024 06 11 20 10  60  5.0   MM    MM    MM    MM  MM 1007.6   8.5   9.3   7.5   MM   MM    MM
2024 06 11 20 00  60  6.0   MM    MM    MM    MM  MM 1007.7   8.4   9.3   7.3   MM -1.5    MM
2024 06 11 19 50  50  5.0   MM    MM    MM    MM  MM 1007.7   8.2   9.3   7.1   MM   MM    MM
2024 06 11 19 40  40  5.0   MM    MM    MM    MM  MM 1007.8   8.1   9.3   7.0   MM   MM    MM
2024 06 11 19 30  50  6.0   MM    MM    MM    MM  MM 1007.9   8.1   9.2   7.0   MM   MM    MM
2024 06 11 19 20  50  6.0   MM    MM    MM    MM  MM 1007.9   7.9   9.2   6.9   MM   MM    MM
2024 06 11 19 10  50  6.0   MM    MM    MM    MM  MM 1008.0   7.9   9.1   6.8   MM   MM    MM
2024 06 11 19 00  50  6.0   MM    MM    MM    MM  MM 1008.1   7.8   9.0   6.8   MM -1.9    MM
2024 06 11 18 50  40  7.0   MM    MM    MM    MM  MM 1008.2   7.6   8.9   6.6   MM   MM    MM
2024 06 11 18 40  50  6.0   MM    MM    MM    MM  MM 1008.3   7.6   8.9   6.6   MM   MM    MM
2024 06 11 18 30  60  6.0   MM    MM    MM    MM  MM 1008.3   7.7   8.8   6.7   MM   MM    MM
2024 06 11 18 20  70  6.0   MM    MM    MM    MM  MM 1008.4   7.7   8.8   6.8   MM   MM    MM
2024 06 11 18 10  60  6.0   MM    MM    MM    MM  MM 1008.6   7.7   8.7   6.8   MM   MM    MM
2024 06 11 18 00  60  6.0   MM    MM    MM    MM  MM 1008.6   7.5   8.8   6.6   MM -2.2    MM
2024 06 11 17 50  50  6.0   MM    MM    MM    MM  MM 1008.8   7.3   8.8   6.4   MM   MM    MM
2024 06 11 17 40  50  6.0   MM    MM    MM    MM  MM 1009.0   7.5   8.8   6.6   MM   MM    MM
2024 06 11 17 30  50  6.0   MM    MM    MM    MM  MM 1009.2   7.5   8.7   6.7   MM   MM    MM
2024 06 11 17 20  40  5.0   MM    MM    MM    MM  MM 1009.3   7.7   8.7   6.9   MM   MM    MM
2024 06 11 17 10  50  5.0   MM    MM    MM    MM  MM 1009.4   7.8   8.7   7.0   MM   MM    MM
2024 06 11 17 00  60  6.0   MM    MM    MM    MM  MM 1009.2   8.0   8.6   7.2   MM -2.1    MM
2024 06 11 16 50  70  6.0   MM    MM    MM    MM  MM 1009.5   7.9   8.6   7.0   MM   MM    MM
2024 06 11 16 40  60  6.0   MM    MM    MM    MM  MM 1009.7   7.7   8.6   6.9   MM   MM    MM
2024 06 11 16 30  60  7.0   MM    MM    MM    MM  MM 1009.8   7.3   8.6   6.4   MM   MM    MM
2024 06 11 16 20  60  6.0   MM    MM    MM    MM  MM 1010.0   7.3   8.6   6.5   MM   MM    MM
2024 06 11 16 10  70  7.0   MM    MM    MM    MM  MM 1009.8   7.3   8.6   6.4   MM   MM    MM
2024 06 11 16 00  50  6.0   MM    MM    MM    MM  MM 1010.0   7.4   8.6   6.4   MM -1.0    MM
2024 06 11 15 50  70  6.0   MM    MM    MM    MM  MM 1010.3   7.9   8.6   6.9   MM   MM    MM
2024 06 11 15 40  70  6.0   MM    MM    MM    MM  MM 1010.3   8.2   8.6   7.2   MM   MM    MM
2024 06 11 15 30  70  6.0   MM    MM    MM    MM  MM 1010.4   8.2   8.6   7.2   MM   MM    MM
2024 06 11 15 20  90  6.0   MM    MM    MM    MM  MM 1010.3   8.2   8.7   7.1   MM   MM    MM
2024 06 11 15 10  90  6.0   MM    MM    MM    MM  MM 1010.5   8.1   8.7   6.8   MM   MM    MM
2024 06 11 15 00  80  6.0   MM    MM    MM    MM  MM 1010.8   7.9   8.7   6.4   MM -1.0    MM
2024 06 11 14 50  80  6.0   MM    MM    MM    MM  MM 1011.0   8.0   8.7   6.3   MM   MM    MM
2024 06 11 14 40  70  6.0   MM    MM    MM    MM  MM 1011.0   8.1   8.8   6.2   MM   MM    MM
2024 06 11 14 30  80  6.0   MM    MM    MM    MM  MM 1011.0   8.1   8.8   6.0   MM   MM    MM
2024 06 11 14 20  70  7.0   MM    MM    MM    MM  MM 1011.0   8.0   8.8   5.6   MM   MM    MM
2024 06 11 14 10  60  6.0   MM    MM    MM    MM  MM 1011.2   8.0   8.9   5.7   MM   MM    MM
2024 06 11 14 00  60  7.0   MM    MM    MM    MM  MM 1011.3   8.1   8.9   5.6   MM -1.1    MM
2024 06 11 13 50  60  6.0   MM    MM    MM    MM  MM 1011.3   8.2   8.9   5.7   MM   MM    MM
2024 06 11 13 40  60  6.0   MM    MM    MM    MM  MM 1011.3   8.4   9.0   5.7   MM   MM    MM
