#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 06 01 00 00  43  2.5 99.0 99.00 99.00 99.00 999 9999.0   8.9   2.9   6.1 99.0 99.00
2023 06 01 00 10  75  2.1 99.0 99.00 99.00 99.00 999 9999.0   8.8   2.9   5.9 99.0 99.00
2023 06 01 00 20  90  1.8 99.0 99.00 99.00 99.00 999 9999.0   8.5   2.9   5.6 99.0 99.00
2023 06 01 00 30 125  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.9   2.9   5.4 99.0 99.00
2023 06 01 00 40 171  2.2 99.0 99.00 99.00 99.00 999 9999.0   8.4   2.9   6.1 99.0 99.00
2023 06 01 00 50 317  1.2 99.0 99.00 99.00 99.00 999 9999.0   9.0   2.9   6.1 99.0 99.00
2023 06 01 01 00   3  2.0 99.0 99.00 99.00 99.00 999 9999.0   8.4   2.9   6.0 99.0 99.00
2023 06 01 01 10  23  4.3 99.0 99.00 99.00 99.00 999 9999.0   9.2   2.9   6.5 99.0 99.00
2023 06 01 01 20  46  3.2 99.0 99.00 99.00 99.00 999 9999.0   7.8   2.9   5.6 99.0 99.00
2023 06 01 01 30  53  3.0 99.0 99.00 99.00 99.00 999 9999.0   8.9   2.9   6.3 99.0 99.00
2023 06 01 01 40  81  4.7 99.0 99.00 99.00 99.00 999 9999.0   9.7   2.9   6.5 99.0 99.00
2023 06 01 01 50  94  2.9 99.0 99.00 99.00 99.00 999 9999.0   8.4   2.9   5.8 99.0 99.00
2023 06 01 02 00  78  2.8 99.0 99.00 99.00 99.00 999 9999.0   7.9   2.9   5.6 99.0 99.00
2023 06 01 02 10  27  2.5 99.0 99.00 99.00 99.00 999 9999.0   6.7   2.9   5.0 99.0 99.00
2023 06 01 02 20  41  2.7 99.0 99.00 99.00 99.00 999 9999.0   6.7   2.9   5.2 99.0 99.00
2023 06 01 02 30  44  2.7 99.0 99.00 99.00 99.00 999 9999.0   7.1   2.9   5.4 99.0 99.00
2023 06 01 02 40  51  2.2 99.0 99.00 99.00 99.00 999 9999.0   7.1   2.9   5.4 99.0 99.00
2023 06 01 02 50  54  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.9   2.9   5.3 99.0 99.00
2023 06 01 03 00  65  1.7 99.0 99.00 99.00 99.00 999 9999.0   7.4   2.9   5.7 99.0 99.00
2023 06 01 03 10  47  2.2 99.0 99.00 99.00 99.00 999 9999.0   7.1   2.9   5.4 99.0 99.00
2023 06 01 03 20   9  1.7 99.0 99.00 99.00 99.00 999 9999.0   6.6   2.9   5.1 99.0 99.00
2023 06 01 03 30  27  2.4 99.0 99.00 99.00 99.00 999 9999.0   7.6   2.9   5.7 99.0 99.00
2023 06 01 03 40  36  2.4 99.0 99.00 99.00 99.00 999 9999.0   7.5   2.9   5.5 99.0 99.00
2023 06 01 03 50  46  2.0 99.0 99.00 99.00 99.00 999 9999.0   7.7   2.9   5.6 99.0 99.00
2023 06 01 04 00  46  2.0 99.0 99.00 99.00 99.00 999 9999.0   7.3   2.9   5.4 99.0 99.00
2023 06 01 04 10  66  1.9 99.0 99.00 99.00 99.00 999 9999.0   7.4   2.9   5.6 99.0 99.00
