Timestamp,Source,Speed,Course,Latitude,Longitude
"2024-05-26 23:39:45",Terr-AIS,0.0,298,46.51622,-84.37502
"2024-05-26 23:18:05",Terr-AIS,0.0,298,46.51617,-84.37502
"2024-05-26 22:55:35",Terr-AIS,0.0,298,46.51623,-84.37502
"2024-05-26 22:33:16",Terr-AIS,0.0,298,46.5162,-84.37502
"2024-05-26 22:10:56",Terr-AIS,0.0,298,46.51626,-84.37505
"2024-05-26 21:48:56",Terr-AIS,0.0,298,46.51623,-84.37502
"2024-05-26 21:26:26",Terr-AIS,0.0,298,46.51623,-84.37502
"2024-05-26 21:04:46",Terr-AIS,0.0,298,46.51623,-84.37501
"2024-05-26 20:42:06",Terr-AIS,0.0,298,46.51621,-84.37502
"2024-05-26 20:20:05",Terr-AIS,0.0,298,46.51626,-84.37504
"2024-05-26 19:57:36",Terr-AIS,0.0,298,46.51621,-84.37502
"2024-05-26 19:36:16",Terr-AIS,0.0,298,46.51624,-84.37503
"2024-05-26 19:13:17",Terr-AIS,0.0,298,46.51622,-84.37501
"2024-05-26 18:51:26",Terr-AIS,0.0,298,46.5162,-84.37498
"2024-05-26 18:29:46",Terr-AIS,0.0,298,46.51622,-84.37498
"2024-05-26 18:07:07",Terr-AIS,0.1,298,46.51622,-84.37502
"2024-05-26 17:45:16",Terr-AIS,0.0,138,46.51588,-84.37468
"2024-05-26 17:22:16",Terr-AIS,0.0,138,46.51589,-84.37467
"2024-05-26 16:59:56",Terr-AIS,0.0,138,46.51588,-84.37467
"2024-05-26 16:39:55",Terr-AIS,0.0,138,46.51587,-84.37468
"2024-05-26 16:19:46",Terr-AIS,0.0,138,46.51587,-84.37466
"2024-05-26 15:59:46",Terr-AIS,0.0,138,46.51588,-84.37469
"2024-05-26 15:37:07",Terr-AIS,0.0,138,46.51588,-84.37466
"2024-05-26 15:15:55",Terr-AIS,0.0,138,46.51588,-84.37467
"2024-05-26 14:54:35",Terr-AIS,0.0,138,46.51589,-84.37468
"2024-05-26 14:32:16",Terr-AIS,0.0,138,46.51586,-84.37468
"2024-05-26 14:09:25",Terr-AIS,0.0,138,46.51588,-84.37467
"2024-05-26 13:46:26",Terr-AIS,0.0,138,46.51588,-84.37469
"2024-05-26 13:24:07",Terr-AIS,0.0,138,46.51587,-84.37469
"2024-05-26 13:01:36",Terr-AIS,0.5,163,46.51626,-84.37509
"2024-05-26 12:58:36",Terr-AIS,0.5,147,46.51653,-84.37528
"2024-05-26 12:50:36",Terr-AIS,0.7,1,46.51667,-84.37576
"2024-05-26 12:48:35",Terr-AIS,1.6,353,46.51601,-84.37566
"2024-05-26 12:46:35",Terr-AIS,1.8,359,46.51504,-84.37561
"2024-05-26 12:44:35",Terr-AIS,1.9,8,46.51398,-84.37566
"2024-05-26 12:42:35",Terr-AIS,1.9,25,46.51295,-84.37607
"2024-05-26 12:39:26",Terr-AIS,1.3,42,46.51169,-84.37724
"2024-05-26 12:37:26",Terr-AIS,0.5,18,46.51126,-84.37775
"2024-05-26 12:34:46",Terr-AIS,0.1,26,46.51126,-84.37782
"2024-05-26 12:32:17",Terr-AIS,0.2,106,46.51111,-84.37793
"2024-05-26 12:30:16",Terr-AIS,1.1,145,46.51137,-84.37829
"2024-05-26 12:27:27",Terr-AIS,0.3,109,46.51159,-84.37871
"2024-05-26 12:25:26",Terr-AIS,0.7,121,46.5118,-84.37924
"2024-05-26 12:23:15",Terr-AIS,1.2,79,46.51195,-84.37991
"2024-05-26 12:21:15",Terr-AIS,2.0,42,46.51147,-84.38097
"2024-05-26 12:19:15",Terr-AIS,2.9,37,46.51041,-84.38219
"2024-05-26 12:17:15",Terr-AIS,4.0,38,46.50885,-84.38385
"2024-05-26 12:15:15",Terr-AIS,4.5,41,46.507,-84.38604
"2024-05-26 12:13:15",Terr-AIS,4.8,49,46.50527,-84.38879
"2024-05-26 12:11:07",Terr-AIS,5.1,50,46.5033,-84.39206
"2024-05-26 12:09:06",Terr-AIS,5.2,51,46.50146,-84.39537
"2024-05-26 12:06:26",Terr-AIS,5.2,55,46.49917,-84.39989
"2024-05-26 12:04:26",Terr-AIS,6.0,66,46.49757,-84.40361
"2024-05-26 12:02:26",Terr-AIS,6.8,72,46.49643,-84.40851
"2024-05-26 12:00:26",Terr-AIS,7.6,70,46.49513,-84.41402
"2024-05-26 11:58:26",Terr-AIS,8.3,70,46.49363,-84.42013
"2024-05-26 11:56:25",Terr-AIS,9.6,59,46.49177,-84.4267
"2024-05-26 11:54:25",Terr-AIS,9.9,50,46.48841,-84.43303
"2024-05-26 11:51:26",Terr-AIS,9.6,52,46.48333,-84.44234
"2024-05-26 11:49:26",Terr-AIS,9.5,52,46.48003,-84.44848
"2024-05-26 11:47:26",Terr-AIS,9.3,50,46.47677,-84.45447
"2024-05-26 11:45:26",Terr-AIS,9.2,44,46.47344,-84.46008
"2024-05-26 11:43:26",Terr-AIS,9.1,32,46.46918,-84.46431
"2024-05-26 11:41:26",Terr-AIS,8.8,37,46.46503,-84.46838
"2024-05-26 11:39:26",Terr-AIS,9.2,55,46.46152,-84.47356
"2024-05-26 11:37:15",Terr-AIS,9.7,74,46.45877,-84.48068
"2024-05-26 11:35:15",Terr-AIS,9.6,74,46.45729,-84.4882
"2024-05-26 11:33:15",Terr-AIS,9.4,74,46.45588,-84.49564
"2024-05-26 11:30:16",Terr-AIS,9.2,74,46.45377,-84.50647
"2024-05-26 11:28:16",Terr-AIS,8.9,74,46.45239,-84.51352
"2024-05-26 11:26:16",Terr-AIS,8.5,73,46.45103,-84.52031
"2024-05-26 11:24:16",Terr-AIS,8.0,72,46.44968,-84.52671
"2024-05-26 11:22:16",Terr-AIS,8.0,88,46.44865,-84.53289
"2024-05-26 11:20:16",Terr-AIS,8.5,116,46.4499,-84.53936
"2024-05-26 11:18:16",Terr-AIS,8.6,119,46.45201,-84.54548
"2024-05-26 11:16:16",Terr-AIS,9.4,138,46.45543,-84.55093
"2024-05-26 11:14:05",Terr-AIS,9.5,138,46.45975,-84.5565
"2024-05-26 11:12:05",Terr-AIS,9.4,138,46.46373,-84.56157
"2024-05-26 11:10:05",Terr-AIS,9.3,138,46.46766,-84.56657
"2024-05-26 11:07:06",Terr-AIS,9.5,138,46.47351,-84.57407
"2024-05-26 11:05:06",Terr-AIS,9.5,138,46.47747,-84.57915
"2024-05-26 11:03:06",Terr-AIS,9.4,138,46.48144,-84.58423
"2024-05-26 11:01:06",Terr-AIS,9.5,137,46.48536,-84.58933
"2024-05-26 10:59:06",Terr-AIS,9.2,136,46.48918,-84.59454
"2024-05-26 10:57:06",Terr-AIS,9.2,138,46.49295,-84.59962
"2024-05-26 10:54:07",Terr-AIS,9.1,138,46.49862,-84.60694
"2024-05-26 10:52:07",Terr-AIS,9.1,138,46.50244,-84.61182
"2024-05-26 10:50:07",Terr-AIS,9.1,138,46.50625,-84.61668
"2024-05-26 10:48:07",Terr-AIS,9.0,138,46.51005,-84.62154
"2024-05-26 10:46:07",Terr-AIS,9.0,139,46.51385,-84.62632
"2024-05-26 10:44:07",Terr-AIS,9.2,139,46.51772,-84.63111
"2024-05-26 10:42:07",Terr-AIS,9.3,139,46.52165,-84.63598
"2024-05-26 10:39:56",Terr-AIS,9.3,140,46.52601,-84.6413
"2024-05-26 10:37:56",Terr-AIS,9.2,139,46.53,-84.6461
"2024-05-26 10:35:55",Terr-AIS,9.2,139,46.53392,-84.65092
"2024-05-26 10:33:55",Terr-AIS,9.2,139,46.53784,-84.65578
"2024-05-26 10:30:56",Terr-AIS,9.1,139,46.54365,-84.66299
"2024-05-26 10:28:56",Terr-AIS,9.2,139,46.54753,-84.66782
"2024-05-26 10:26:56",Terr-AIS,9.2,140,46.55144,-84.67263
"2024-05-26 10:24:56",Terr-AIS,9.2,140,46.55539,-84.67738
"2024-05-26 10:22:56",Terr-AIS,9.1,139,46.5593,-84.68216
"2024-05-26 10:20:56",Terr-AIS,9.1,139,46.5632,-84.68697
"2024-05-26 10:18:55",Terr-AIS,9.1,139,46.5671,-84.69184
"2024-05-26 10:15:56",Terr-AIS,9.1,138,46.57283,-84.69913
"2024-05-26 10:13:56",Terr-AIS,9.1,139,46.57669,-84.70399
"2024-05-26 10:11:56",Terr-AIS,9.1,138,46.58054,-84.70885
"2024-05-26 10:09:47",Terr-AIS,9.2,137,46.58465,-84.71413
"2024-05-26 10:07:47",Terr-AIS,9.2,137,46.58843,-84.71912
"2024-05-26 10:05:35",Terr-AIS,9.1,138,46.59261,-84.72459
"2024-05-26 10:03:35",Terr-AIS,9.2,138,46.59642,-84.72957
"2024-05-26 10:01:35",Terr-AIS,9.2,138,46.60025,-84.7345
"2024-05-26 09:59:35",Terr-AIS,9.1,138,46.60408,-84.73946
"2024-05-26 09:57:35",Terr-AIS,9.1,138,46.60791,-84.74442
"2024-05-26 09:55:35",Terr-AIS,9.1,136,46.61171,-84.74939
"2024-05-26 09:53:35",Terr-AIS,9.1,136,46.61543,-84.75452
"2024-05-26 09:51:35",Terr-AIS,9.1,137,46.61914,-84.75962
"2024-05-26 09:48:36",Terr-AIS,9.2,146,46.62526,-84.76626
"2024-05-26 09:46:36",Terr-AIS,9.2,146,46.62957,-84.77036
"2024-05-26 09:44:36",Terr-AIS,9.2,146,46.63388,-84.77444
"2024-05-26 09:42:36",Terr-AIS,9.2,146,46.6382,-84.77853
"2024-05-26 09:40:36",Terr-AIS,9.1,146,46.64247,-84.78262
"2024-05-26 09:38:35",Terr-AIS,9.1,146,46.64678,-84.78674
"2024-05-26 09:36:35",Terr-AIS,9.1,147,46.65107,-84.79075
"2024-05-26 09:34:35",Terr-AIS,9.2,147,46.6554,-84.79472
"2024-05-26 09:31:36",Terr-AIS,9.1,147,46.66184,-84.80069
"2024-05-26 09:29:36",Terr-AIS,9.1,148,46.66619,-84.80461
"2024-05-26 09:27:36",Terr-AIS,9.2,147,46.67053,-84.80855
"2024-05-26 09:25:36",Terr-AIS,9.2,147,46.67487,-84.81258
"2024-05-26 09:23:35",Terr-AIS,9.3,147,46.67927,-84.81668
"2024-05-26 09:21:35",Terr-AIS,9.3,147,46.68364,-84.82072
"2024-05-26 09:19:35",Terr-AIS,9.3,147,46.688,-84.82483
"2024-05-26 09:17:35",Terr-AIS,9.3,147,46.69238,-84.82895
"2024-05-26 09:15:35",Terr-AIS,9.3,147,46.69678,-84.83303
"2024-05-26 09:13:35",Terr-AIS,9.3,147,46.70115,-84.8371
"2024-05-26 09:10:36",Terr-AIS,9.3,146,46.70763,-84.84327
"2024-05-26 09:08:36",Terr-AIS,9.3,146,46.71198,-84.84739
"2024-05-26 09:06:36",Terr-AIS,9.3,147,46.71633,-84.85149
"2024-05-26 09:04:36",Terr-AIS,9.3,147,46.7207,-84.85558
